timestamp,source_ip,destination_ip,user_agent,login_successful,attack_flag
2025-04-27 18:54:08,148.212.58.97,164.11.74.243,Edge,1,0
2025-04-27 19:01:51,4.235.171.43,121.107.49.227,Safari,0,0
2025-04-27 19:04:34,124.150.46.71,123.13.66.79,Safari,1,0
2025-04-27 19:06:06,244.216.194.179,37.244.112.141,Chrome,1,0
2025-04-27 19:13:35,91.98.191.64,40.49.166.94,Safari,1,0
2025-04-27 19:21:10,114.47.254.150,236.205.209.20,Safari,1,0
2025-04-27 19:27:49,98.75.116.79,193.24.16.225,Firefox,1,0
2025-04-27 19:35:24,135.202.49.187,21.209.238.171,Firefox,1,0
2025-04-27 19:40:22,181.77.114.163,181.164.66.131,Bot,1,0
2025-04-27 19:47:00,137.252.151.0,243.114.69.96,Bot,1,0
2025-04-27 19:54:29,5.167.242.3,106.83.81.100,Bot,1,0
2025-04-27 20:04:11,206.60.71.91,112.223.248.186,Bot,1,0
2025-04-27 20:11:25,43.29.254.79,75.105.183.158,Edge,1,0
2025-04-27 20:14:03,252.171.172.139,21.62.235.179,Firefox,1,0
2025-04-27 20:18:31,173.208.199.78,70.208.10.240,Bot,1,0
2025-04-27 20:19:21,133.241.207.74,226.105.169.9,Firefox,1,0
2025-04-27 20:21:50,103.94.151.15,109.146.210.199,Safari,1,0
2025-04-27 20:28:13,95.12.201.62,77.195.12.136,Safari,1,0
2025-04-27 20:28:47,193.253.183.230,58.176.112.72,Bot,1,0
2025-04-27 20:33:00,119.14.205.135,117.185.96.146,Edge,1,0
2025-04-27 20:41:11,241.201.36.179,209.53.45.98,Chrome,1,0
2025-04-27 20:47:56,73.74.126.190,215.136.70.114,Edge,1,0
2025-04-27 20:50:51,161.63.124.4,60.214.4.62,Edge,1,0
2025-04-27 20:51:47,226.143.192.163,242.176.139.4,Edge,1,0
2025-04-27 20:58:32,70.147.196.212,52.198.232.135,Safari,1,0
2025-04-27 21:05:09,228.109.111.149,20.169.43.173,Chrome,1,0
2025-04-27 21:13:32,50.208.249.180,14.59.65.22,Chrome,1,0
2025-04-27 21:20:40,160.10.97.79,223.49.91.15,Edge,1,0
2025-04-27 21:22:10,82.24.216.68,178.199.236.187,Bot,1,0
2025-04-27 21:30:21,164.22.80.146,253.53.88.185,Edge,1,0
2025-04-27 21:34:24,71.194.178.99,89.229.152.253,Bot,1,0
2025-04-27 21:41:23,170.64.102.237,51.93.67.28,Bot,1,0
2025-04-27 21:49:56,223.152.127.163,118.205.111.113,Firefox,1,0
2025-04-27 21:54:38,13.138.232.39,27.167.102.12,Edge,1,0
2025-04-27 21:56:40,194.54.5.75,141.162.32.203,Safari,1,0
2025-04-27 21:57:31,76.36.114.68,102.47.223.36,Safari,1,0
2025-04-27 22:04:45,190.242.162.72,121.175.159.230,Edge,1,0
2025-04-27 22:09:08,97.240.197.161,45.22.213.87,Safari,1,0
2025-04-27 22:18:19,83.101.70.116,18.62.24.180,Firefox,1,0
2025-04-27 22:24:48,63.116.83.241,84.154.180.155,Chrome,1,0
2025-04-27 22:31:45,183.75.140.198,237.102.9.66,Edge,1,0
2025-04-27 22:33:25,177.132.41.39,255.213.23.123,Chrome,0,0
2025-04-27 22:38:16,105.211.91.99,83.90.149.254,Safari,1,0
2025-04-27 22:47:07,204.112.1.4,124.154.50.34,Edge,1,0
2025-04-27 22:55:35,59.161.101.98,249.117.123.190,Edge,1,0
2025-04-27 23:02:30,58.171.228.147,186.138.206.46,Edge,1,0
2025-04-27 23:09:01,200.192.211.155,118.176.161.74,Firefox,1,0
2025-04-27 23:17:00,247.228.7.40,135.233.237.203,Chrome,1,0
2025-04-27 23:17:28,4.85.9.130,219.152.125.115,Edge,1,0
2025-04-27 23:19:31,251.151.189.84,242.170.22.129,Edge,1,0
2025-04-27 23:24:40,130.212.182.125,8.106.144.145,Firefox,1,0
